"districtId","districtName","schoolId","schoolName","studentcount","teachercount","purchaseOrderNumber","startDate","expiryDate","totalLicenseCount","licenseConsumeCount","productTitles","rawConsumeUserCount","duplicateUserCount","userCounts"
79412,"Kingsport City Schools (TN)",79413,"Dobyns Bennett High School",80,1,,,,,,,,,
79412,"Kingsport City Schools (TN)",,,,,"DobynsBennettHS_PDN1-2_teacher","2025-07-24","2025-09-06",5,3,"Portfolio Deutsch Neu, Level 1 - Teacher's Manual, Portfolio Deutsch Neu, Level 1 - Textbook, Portfolio Deutsch Neu, Level 1 - Workbook, Portfolio Deutsch Neu, Level 2 - Teacher’s Manual, Portfolio Deutsch Neu, Level 2 - Textbook, Portfolio Deutsch Neu, Level 2 - Workbook",3,0,"{""District Admin"":1,""School Administrator"":1,""School Teacher"":1}"
71977,"Belton Independent School District (TX)",71982,"BELTON HIGH SCHOOL",32,1,,,,,,,,,
71977,"Belton Independent School District (TX)",71983,"LAKE BELTON HIGH SCHOOL",43,1,,,,,,,,,
71977,"Belton Independent School District (TX)",,,,,"PO022400175_PortfolioDeutschNeu1_textbook","2024-09-19","2025-10-23",65,64,"Portfolio Deutsch Neu, Level 1 - Textbook",65,1,"{""District Admin"":1,""School Administrator"":2,""School Teacher"":1,""School Student"":60}"
71977,"Belton Independent School District (TX)",,,,,"PO022400175_PortfolioDeutschNeu1_teachermaterials","2024-09-19","2025-10-23",10,4,"Portfolio Deutsch Neu, Level 1 - Teacher's Manual, Portfolio Deutsch Neu, Level 1 - Textbook, Portfolio Deutsch Neu, Level 1 - Workbook",5,1,"{""District Admin"":1,""School Administrator"":2,""School Teacher"":1}"
71977,"Belton Independent School District (TX)",,,,,"POZQ003146_PortfolioDeutschNeu1_textbook","2024-09-27","2025-10-31",20,15,"Portfolio Deutsch Neu, Level 1 - Textbook",15,0,"{""District Admin"":1,""School Administrator"":1,""School Teacher"":1,""School Student"":12}"
77661,"Brookfield Public Schools (IL)",77681,"Brookfield High School",16,1,,,,,,,,,
59318,"Richland School District (WA)",59324,"Carmichael Middle School",170,2,,,,,,,,,
59318,"Richland School District (WA)",59325,"Chief Joseph Middle School",63,1,,,,,,,,,
