school_name,school_id
Lane M.S.,74708
Astor K-8,69750
Jackson M.S.,69733
Lane M.S.,69732
Skyline K-8,69763
Kellogg M.S.,69757
Leodis V. McDaniel H.S.,69768
Robert Gray M.S.,69755
Mt Tabor M.S.,69758
Ockley Green M.S.,69759
Sellwood M.S.,69762
Lincoln H.S.,69767
West Sylvan M.S.,69765
Faubion PK-8,69753
Metropolitan Learning Ctr K-8,69770
Clark E.S.,69783
George M.S.,69754
Metropolitan Learning Ctr HS,69769
Harrison Park M.S.,69782
Ida B. Wells-Barnett H.S.,69771
Winterhaven K-8,69735
Bridger Creative Science School,69737
Cesar Chavez K-8,69738
Odyssey Program K-8,69739
Beverly Cleary K-8,69740
Laurelhurst K-8,69741
Roseway Heights M.S.,69742
Sabin E.S.,69743
Sunnyside Environmental K-8,69744
Vernon K-8,69745
Access,69746
Le Monde French Immersion,69748
Reconnection Outreach Services,69749
Beaumont M.S.,69752
Cleveland H.S.,71083
Hosford M.S.,69756
Harriet Tubman M.S.,69764
Beverly Cleary K-8,72524
Loudoun Valley HS,71810
Riverside HS,73242
Stone Bridge HS,73790
Loudoun Valley HS,73223
Tuscarora HS,71331
Virtual Distance Learning,70878
Sterling MS,70834
Potomac Falls HS,70826
Lightridge HS,70823
Stone Bridge HS,70830
Woodgrove HS,70837
Trailside MS,70836
Belmont Ridge MS,70806
River Bend MS,70827
Dominion HS,70810
Mercer MS,70825
Harper Park MS,70814
Broad Run HS,70807
Seneca Ridge MS,70833
Academies of Loudoun,70804
Loudoun County HS,70822
Kenneth W. Culbert ES,70821
Brambleton MS,70805
Smart's Mill MS,70832
Harmony MS,70815
Rock Ridge HS,70828
Eagle Ridge MS,70811
J. Michael Lunsford MS,70820
Farmwell Station MS,70813
Willard MS,70838
Blue Ridge MS,70808
Heritage HS,70816
J. Lupton Simpson MS,70819
Briar Woods HS,70809
Independence HS,70817
John Champe HS,70818
Tuscarora HS,70835
Freedom HS,70812
Virtual Loudoun HS,70877
Loudoun Valley HS,70824
Stone Hill MS,70831
Riverside HS,70829
Granite Hills High School,76146
Vanguard Preparatory,76147
Apple Valley High School,76145
Americas - Southeast - Middleton S. Elliott Elementary School,71716
Americas - Mid-Atlantic - Bitz Intermediate School,71708
Americas - Mid-Atlantic - Tarawa Terrace Elementary School,71712
Americas - Mid-Atlantic - Shughart Elementary School,71711
Pacific - West - McCool Elementary/Middle School,71718
Pacific - West - Andersen Middle School,71720
Americas - Mid-Atlantic - Heroes Elementary School,71713
Americas - Mid-Atlantic - Quantico Middle/High School,71715
Americas - Mid-Atlantic - DeLalio Elementary School,71710
Pacific - West - Guam High School,71719
Pacific - West - Andersen Elementary School,71717
Americas - Mid-Atlantic - WT Sampson Elementary/High School,71721
Americas - Mid-Atlantic - Crossroads Elementary School,71714
Americas - Mid-Atlantic - Johnson Primary School,71707
Americas - Mid-Atlantic - Brewster Middle School,71709
DoDEA Virtual High School,76957
Americas - Southeast - Mahaffey Middle School,71682
Oxford High School,73675
Pacific - South - Zukeran Elementary School,71660
Pacific - South - Kadena High School,71661
Pacific - South - Kadena Middle School,71662
Pacific - South - Amelia Earhart Intermediate School,71663
Pacific - South - Lester Middle School,71664
Pacific - South - Ryukyu Middle School,71665
Pacific - South - Kadena Elementary School,71666
Pacific - South - Killin Elementary School,71667
Pacific - South - Ralph F. Stearley Primary School,71668
Pacific - South - Bechtel Elementary School,71669
Pacific - South - Bob Hope Elementary School,71670
Americas - Southeast - Ellis D. Parker Elementary School,71671
Americas - Southeast - Morris R. McBride Elementary School,71672
Americas - Southeast - Freddie Stowers Elementary School,71673
Americas - Southeast - Edward A. White Elementary School,71674
Americas - Southeast - Herbert J. Dexter Elementary School,71675
Americas - Southeast - Don C. Faith Middle School,71676
Americas - Southeast - Diamond Elementary School,71677
Americas - Southeast - Patrick L. Kessler Elementary School,71678
Americas - Southeast - Andre Lucas Elementary School,71679
Americas - Southeast - Barkley Elementary School,71680
Americas - Southeast - Marshall Elementary School,71681
Americas - Southeast - Mahaffey Middle School,71682
Americas - Southeast - Fort Campbell High School,71683
Americas - Southeast - Fort Knox Middle/High School,71684
Americas - Southeast - Van Voorhis Elementary School,71685
Americas - Mid-Atlantic - West Point Elementary School,71686
Americas - Southeast - Scott Intermediate School,71687
Americas - Mid-Atlantic - West Point Middle School,71688
Americas - Mid-Atlantic - Shughart Middle School,71689
Americas - Southeast - Kingsolver Elementary School,71690
Americas - Mid-Atlantic - Bowley Elementary School,71691
Americas - Mid-Atlantic - Dahlgren School,71706
Americas - Mid-Atlantic - Ramey School,71705
Americas - Mid-Atlantic - Antilles High School,71704
Americas - Mid-Atlantic - Antilles Middle School,71703
Americas - Mid-Atlantic - Antilles Elementary School,71702
Americas - Southeast - Maxwell AFB Elementary/Middle School,71701
Americas - Southeast - Charles F Bolden Elementary/Middle,71700
Americas - Southeast - Charles Cotesworth Pinckney Elementary,71699
Americas - Mid-Atlantic - Kimberly Hampton Primary School,71692
Americas - Mid-Atlantic - Irwin Intermediate School,71693
Americas - Mid-Atlantic - Devers Elementary School,71694
Americas - Mid-Atlantic - Gordon Elementary School,71695
Americas - Southeast - Charles P Murray Elementary School,71696
Americas - Mid-Atlantic - Mildred B. Poole Elementary School,71697
Americas - Southeast - Pierce Terrace Elementary School,71698
Pacific - East - Zama Middle/High School,71630
Europe - East - Vilseck Elementary School,71610
Europe - East - Robinson Barracks Elementary School,71611
Europe - East - Vilseck High School,71612
Europe - East - Ansbach Elementary School,71613
Europe - East - Garmisch Elementary/Middle School,71614
Europe - East - Grafenwoehr Elementary School,71615
Europe - East - Netzaberg Elementary School,71616
Europe - East - Hohenfels Elementary School,71617
Europe - East - Patch Elementary School,71618
Europe - East - Patch Middle School,71619
Europe - East - Netzaberg Middle School,71620
Europe - South - Livorno Elementary/Middle School,71621
Europe - South - Vicenza Elementary School,71622
Europe - South - Bahrain Elementary School,71623
Europe - South - Naples Elementary School,71624
Europe - South - Rota Elementary School,71625
Europe - South - Sigonella Elementary School,71626
Europe - South - Ankara Elementary/High School,71627
Europe - South - Aviano Elementary School,71628
Europe - South - Sevilla Elementary/Middle School,71629
Pacific - West - Daegu Elementary School,71631
Pacific - West - Daegu Middle/High School,71632
Pacific - East - John O Arnn Elementary School,71633
Pacific - East - Ernest J. King Middle/High School,71634
Pacific - East - Nile C Kinnick High School,71635
Pacific - East - Matthew C Perry High School,71636
Pacific - East - Sasebo Elementary School,71637
Pacific - East - Shirley Lanham Elementary School,71638
Pacific - East - Matthew C Perry Primary School,71639
Pacific - East - Jack N Darby Elementary School,71640
Pacific - East - Sullivans Elementary School,71641
Pacific - East - Ikego Elementary School,71642
Pacific - East - Yokosuka Middle School,71643
Pacific - East - Iwakuni Middle School,71644
Pacific - East - Iwakuni Intermediate School,71645
Pacific - East - Yokosuka Primary School,71646
Pacific - East - Robert D Edgren Middle/High School,71647
Pacific - East - Yokota High School,71648
Pacific - West - Osan Middle/High School,71649
Pacific - East - Sollars Elementary School,71650
Pacific - East - Joan K. Mendel Elementary School,71651
Pacific - East - Yokota West Elementary School,71652
Pacific - West - Osan Elementary School,71653
Pacific - East - Yokota Middle School,71654
Pacific - West - Humphreys Central Elementary School,71655
Pacific - West - Humphreys Middle School,71656
Pacific - West - Humphreys West Elementary School,71657
Pacific - South - Kubasaki High School,71658
Pacific - South - Kinser Elementary School,71659
Shawnee Mission Northwest High,73335
Shawnee Mission South High,73334
Shawnee Mission Northwest High,73335
Shawnee Mission South High,73334
Shawnee Mission West High,73333
Shawnee Mission East High,73332
Shawnee Mission North High,73331
East Rockaway Jr/Sr High,72287
Europe - South - Vicenza Middle School,70769
Europe - Central - Ramstein Intermediate School,71605
Europe - Central - Sembach Elementary School,71606
Europe - East - Ansbach Middle/High School,71607
Europe - East - Hohenfels Middle/High School,71608
Europe - East - Stuttgart High School,71609
Europe - Central - Ramstein Elementary School,71604
Europe - Central - Landstuhl Elementary School,71603
Europe - Central - Kaiserslautern Elementary School,71601
Europe - Central - Vogelweh Elementary School,71599
