districtId,districtName,schoolId,schoolName,studentcount,teachercount,purchaseOrderNumber,startDate,expiryDate,totalLicenseCount,licenseConsumeCount,productTitles
54846,ClassLink Test District,,,,,ClasslinkPO,2023-03-07,2025-09-25,1000,21,"Mapas 1 Enriched eText Student Edition, Mapas 1 Enriched eText Teacher Edition, Mapas 2 Enriched eText Student Edition, Mapas 2 eText Teacher Edition, Mapas 3 Enriched eText Student Edition, Mapas 3 eText Teacher Edition, Mapas 4 Enriched eText Student Edition, Mapas 4 eText Teacher Edition, Reporteros 1, Reporteros 1 eText Student Edition - to be archived, Reporteros 1 eText to be archived, Reporteros 1 eText Workbook, Reporteros 2 , Reporteros 2 Enriched eText Workbook, Reporteros 2 eText Student Edition, Reporteros 2 eText Teacher Edition, Reporteros 3, Reporters francophones 1 Enriched eText Student Edition sample unit, Reporters francophones 1 Enriched eText Workbook sample unit, Reporters francophones 1 eText Teacher Edition sample unit"
55204,#DEMO Klett Learning Platform (Dev) Sandbox,,,,,My_School_License,2024-06-17,2025-11-29,309,16,"24 heures à Paris, Mapas 1, Mapas 2, Mapas 3, Mapas 4, Reporteros 1, Reporteros 2 , Reporteros 3, Reporters francophones 1, Reporters francophones 2"
58143,Elmwood Park School District,,,,,"PO84494 Mapas 1,2,3 Teacher and Student",2023-08-22,2029-08-22,3447,308,"Mapas 1, Mapas 2, Mapas 3"
58143,Elmwood Park School District,,,,,PO84494 Reporteros 1 Teacher Student,2023-08-22,2029-08-22,3908,520,Reporteros 1
59164,Hampshire County,,,,,PO240053_HampshireCounty_Reporteros1-3,2023-08-29,2029-08-05,700,80,"Reporteros 1, Reporteros 2 , Reporteros 3"
59318,Richland School District (WA),,,,,RichlandSchoolDistrict_adoption_Defifrancophone1-2,2024-08-23,2029-07-01,350,33,"Défi francophone 1, Défi francophone 2"
59318,Richland School District (WA),,,,,RichlandSchoolDistrict_adoption_KlasseA1-A2,2024-08-23,2029-07-01,1880,106,"Klasse! A1 - The KWL Hub for Teachers, Klasse! A1 - The KWL Hub Workbook for Students , Klasse! A2 - The KWL Hub for Teachers, Klasse! A2 - The KWL Hub Workbook for Students "
59318,Richland School District (WA),,,,,RichlandSchoolDistrict_adoption_Reporteros1-3,2024-08-23,2029-07-01,10000,859,"Reporteros 1, Reporteros 2 "
59446,Upper Arlington City School District,,,,,KSO4355000002106619 Reporters Francophones 1 and 2,2023-08-18,2025-09-01,1346,207,"Reporters francophones 1, Reporters francophones 2"
59446,Upper Arlington City School District,,,,,PO#2405500_UpperArlington_ReportersFrancophones3,2024-07-12,2025-09-01,975,129,Reporters francophones 3
59541,Brooke County Schools,,,,,PO 154737 Reporteros 1 teacher,2023-08-10,2026-08-08,500,63,Reporteros 1
59541,Brooke County Schools,,,,,PO 154737 Reporteros 2 teacher,2023-08-10,2026-08-08,25,1,Reporteros 2 
59541,Brooke County Schools,,,,,PO 154737 Reporteros 3 teacher,2023-08-10,2026-08-08,25,1,Reporteros 3
59541,Brooke County Schools,,,,,PO 154737_Reporteros1-4_all,2024-08-16,2029-08-03,10000,109,"Reporteros 1, Reporteros 2 , Reporteros 3, Reporteros 4"
59542,Taylor County Schools,,,,,"PO 24056 Reporteros 1 (includes 1A, 1B, 1) ",2023-08-16,2028-07-31,1470,312,"Reporteros 1, Reporteros 1A, Reporteros 1B"
59542,Taylor County Schools,,,,,PO 24056 Reporteros 2 ,2023-08-16,2028-07-31,289,17,Reporteros 2 
59542,Taylor County Schools,,,,,PO20240206_TaylorCo_Rep3Map4,2023-09-07,2028-08-15,100,14,"Mapas 4, Reporteros 3"
59574,Cotati-Rohnert Park Unified School District,,,,,PO_P24-00048_Reporteros1_adoption,2023-08-10,2029-08-04,1544,9,Reporteros 1
59574,Cotati-Rohnert Park Unified School District,,,,,PO_P24-00048_Reporteros2_adoption,2023-08-10,2029-08-04,1214,6,Reporteros 2 
59574,Cotati-Rohnert Park Unified School District,,,,,PO_P24-00048_Reporteros3_adoption,2023-08-10,2029-08-04,687,7,Reporteros 3
59574,Cotati-Rohnert Park Unified School District,,,,,PO_P26-00041_TechnologyHS_Reporteros1_1yr,2025-07-11,2026-08-14,48,4,Reporteros 1
59574,Cotati-Rohnert Park Unified School District,,,,,PO_P26-00041_TechnologyHS_Reporteros2_1yr,2025-07-11,2026-08-14,48,4,Reporteros 2 
59574,Cotati-Rohnert Park Unified School District,,,,,PO_P26-00041_TechnologyHS_Reporteros3_1yr,2025-07-11,2026-08-14,48,4,Reporteros 3
59857,Pueblo City School District 60,,,,,PuebloCitySchoolDistrict 60_adoption_PDN1-4_all,2024-09-04,2028-08-05,2000,25,"Portfolio Deutsch Neu, Level 1 - Teacher's Manual, Portfolio Deutsch Neu, Level 1 - Textbook, Portfolio Deutsch Neu, Level 1 - Workbook, Portfolio Deutsch Neu, Level 2 - Teacher’s Manual, Portfolio Deutsch Neu, Level 2 - Textbook, Portfolio Deutsch Neu, Level 2 - Workbook, Portfolio Deutsch Neu, Level 3/4 - Teacher's Manual, Portfolio Deutsch Neu, Level 3/4 - Textbook, Portfolio Deutsch Neu, Level 3/4 - Workbook"
59872,Belmont-Redwood Shores School District,,,,,BelmontRedwoodShores_Reporteros1_adoption,2024-08-29,2028-08-04,1140,393,Reporteros 1
59941,Alhambra Unified School District,,,,,AlhambraUSD_Reporteros1-3_all,2024-08-07,2031-08-01,45000,1491,"Reporteros 1, Reporteros 2 , Reporteros 3"
60006,King School (CT),,,,,PO # WL- F -2023-2024,2023-11-07,2026-11-05,5,3,"Reporters francophones 1, Reporters francophones 2"
60006,King School (CT),,,,,PO_ZQ002481_Reporteros3_student,2024-07-22,2025-08-25,60,3,Reporteros 3
60006,King School (CT),,,,,PO_ZQ002481_Reporteros3_teacher_3yr,2024-07-22,2027-07-26,10,2,Reporteros 3
60006,King School (CT),,,,,PO_ZQ002481_ReportersFrancophones1_student_1yr,2024-07-22,2025-08-25,60,3,Reporters francophones 1
