districtId,districtName,schoolId,schoolName,studentcount,teachercount
54718,ClassLink Certification,54721,ClassLink Elementary School,61,19
54718,ClassLink Certification,54719,ClassLink HS,41,15
54718,ClassLink Certification,54720,ClassLink MS,52,14
54846,ClassLink Test District,54853,(QATeam),3,2
54846,ClassLink Test District,54854,(QATeam)-2,3,2
54846,ClassLink Test District,54850,ClassLink ES,62,18
54846,ClassLink Test District,54848,ClassLink HS,38,13
54846,ClassLink Test District,54849,ClassLink MS,47,12
54846,ClassLink Test District,57761,Klett Classlink Test,,
54846,ClassLink Test District,54851,"Klett World Languages, Inc.",3,2
54846,ClassLink Test District,54852,"Klett World Languages, Inc.-2",3,2
55204,#DEMO Klett Learning Platform (Dev) Sandbox,55205,City High School,1,
55204,#DEMO Klett Learning Platform (Dev) Sandbox,55208,Default District Office (Auto-generated),,
55204,#DEMO Klett Learning Platform (Dev) Sandbox,55209,Demoville Elementary (Auto-generated),,
55204,#DEMO Klett Learning Platform (Dev) Sandbox,55206,Pineapple Elementary School,6,3
55204,#DEMO Klett Learning Platform (Dev) Sandbox,55207,Rockaway Beach Middle School,7,4
56232,Sales Demo District,56233,School A,1,1
56232,Sales Demo District,56234,School B,1,1
56232,Sales Demo District,56943,School C,1,1
58143,Elmwood Park School District,58254,Elmwood Park Memorial High School,282,3
58143,Elmwood Park School District,58255,Elmwood Park Memorial Middle School,514,5
58277,Green Bay Area Public Schools,75625,Sub Account,,
58317,MB District,61465,MBSCHOOL,7,1
58419,DUPLICATE Pueblo SD 60 DO NOT USE,59522,Test School,,
58881,Gwinnett County School District,62130,Collins Hill High School,576,5
58881,Gwinnett County School District,62131,Dacula Middle School,71,1
58881,Gwinnett County School District,62176,ISC,3,2
58881,Gwinnett County School District,62133,Lanier Middle School,202,1
58881,Gwinnett County School District,62135,McConnell Middle School,183,3
58881,Gwinnett County School District,62136,Meadowcreek High School,545,4
58881,Gwinnett County School District,62137,Mill Creek High School,327,5
58881,Gwinnett County School District,62132,Mountain View High School,306,4
58881,Gwinnett County School District,62138,Pinckneyville Middle School,498,5
58881,Gwinnett County School District,62134,Seckinger High School,946,7
58881,Gwinnett County School District,62139,Shiloh High School,592,5
59164,Hampshire County,61139,Hampshire Senior High School,79,1
59176,Morgan County Schools,60664,Berkeley Springs High School,234,1
59176,Morgan County Schools,59360,Warm Springs Middle School,54,1
59318,Richland School District (WA),59324,Carmichael Middle School,170,2
59318,Richland School District (WA),59325,Chief Joseph Middle School,63,1
59318,Richland School District (WA),59326,Enterprise Middle School,117,1
59318,Richland School District (WA),71473,Enterprise Middle School,,
59318,Richland School District (WA),59327,Hanford High School,558,5
59318,Richland School District (WA),59331,Leona Libby Middle School,195,5
59318,Richland School District (WA),59332,Pacific Crest Online Academy,1,
59318,Richland School District (WA),59328,Richland High School,657,9
59318,Richland School District (WA),59330,Rivers Edge High School,,
59318,Richland School District (WA),59329,Special Education,,
59318,Richland School District (WA),59333,Three Rivers Homelink School,,
59424,Test District 17 Jul,59425,TestDSchool 17 Jul,3,1
59446,Upper Arlington City School District,60727,Hastings Middle School,489,4
59446,Upper Arlington City School District,60728,Jones Middle School,110,6
59446,Upper Arlington City School District,60725,UA Online Academy,3,1
59446,Upper Arlington City School District,60726,Upper Arlington High School,205,4
59446,Upper Arlington City School District,,,,
59541,Brooke County Schools,60382,Brooke High School,138,2
59541,Brooke County Schools,60383,Brooke Middle School,103,3
59542,Taylor County Schools,60655,Anna Jarvis Elementary School,453,
59542,Taylor County Schools,60656,Flemington Elementary School,113,
59542,Taylor County Schools,60659,Grafton High School,664,3
59542,Taylor County Schools,60658,Taylor County Middle School,651,2
59542,Taylor County Schools,73243,Taylor County Middle School,,
59542,Taylor County Schools,60657,West Taylor Elementary School,265,
59574,Cotati-Rohnert Park Unified School District,79115,El Camino High School,8,
59574,Cotati-Rohnert Park Unified School District,60406,Rancho Cotate High School,505,4
59574,Cotati-Rohnert Park Unified School District,79114,Technology High School,1,
59857,Pueblo City School District 60,59859,Centennial HS Design and Innovation Academy,59,1
59861,Bellevue School District,59871,Interlake High School,138,1
59861,Bellevue School District,59867,International School,297,2
59861,Bellevue School District,59870,Newport High School,126,1
59861,Bellevue School District,59866,Odle Middle School,172,1
59861,Bellevue School District,59863,Tyee Middle School,125,1
59872,Belmont-Redwood Shores School District,59879,Nesbit School,208,1
59872,Belmont-Redwood Shores School District,59873,Ralston Middle School,474,3
59874,Cupertino Union School District,59876,Cupertino Middle School,211,2
59874,Cupertino Union School District,59880,Hyde Middle School,179,3
59874,Cupertino Union School District,59882,Kennedy Middle School,118,1
59874,Cupertino Union School District,59875,Lawson Middle School,94,1
59874,Cupertino Union School District,59883,Miller Middle School,219,2
59941,Alhambra Unified School District,59942,Alhambra High School,660,9
59941,Alhambra Unified School District,69415,HS Independent Study,53,4
59941,Alhambra Unified School District,59945,Mark Keppel High School,596,8
59941,Alhambra Unified School District,59946,San Gabriel High School,525,6
60006,King School (CT),61205,Entir,98,3
60006,King School (CT),60927,King School,,
60006,King School (CT),72262,MS,1,
60006,King School (CT),61237,US,96,3
60066,Township High School District 214,60070,Buffalo Grove High School,728,10
60066,Township High School District 214,60067,Elk Grove High School,577,9
