"districtId","districtName","schoolId","schoolName","studentcount","teachercount","purchaseOrderNumber","startDate","expiryDate","totalLicenseCount","licenseConsumeCount","productTitles","rawConsumeUserCount","duplicateUserCount","userCounts"
71823,"Murrieta Valley Unified School District SFTP",72002,"Murrieta Canyon Academy",,,,,,,,,,,
71823,"Murrieta Valley Unified School District SFTP",72001,"Murrieta Mesa High School",,,,,,,,,,,
71823,"Murrieta Valley Unified School District SFTP",71999,"Murrieta Valley High School",,,,,,,,,,,
71823,"Murrieta Valley Unified School District SFTP",73156,"Shivela Middle School",,,,,,,,,,,
71823,"Murrieta Valley Unified School District SFTP",73157,"Thompson Middle School",,,,,,,,,,,
71823,"Murrieta Valley Unified School District SFTP",72000,"Vista Murrieta High School",,,,,,,,,,,
71823,"Murrieta Valley Unified School District SFTP",,,,,"MurrietaValleyUSD_SFTP_Reporteros_all","2024-09-09","2032-07-30",26305,1191,"Reporteros 1, Reporteros 2 , Reporteros 3, Reporteros 4",390999,389808,"{""District Admin"":6,""School Administrator"":6,""School Teacher"":21,""School Student"":1158}"
73313,"15812-Shawnee Mission School District (KS)",81368,"Hocker Grove Middle",,,,,,,,,,,
73313,"15812-Shawnee Mission School District (KS)",,,,,"ShawneeMission_SO-49069_SpanishReaders","2024-11-13","2025-12-17",861,,"24 horas en Bogotá, 24 horas en Ciudad de México, En busca de la verdad, Todo para todos, Un gol fantástico",0,0,"{}"
79593,"Steamboat Springs SD",79606,"Sleeping Giant School",,,,,,,,,,,
79593,"Steamboat Springs SD",79605,"Steamboat Springs High School",,,,,,,,,,,
79593,"Steamboat Springs SD",79604,"Steamboat Springs Middle School",,,,,,,,,,,
79593,"Steamboat Springs SD",,,,,"PO_SO-66233_SteamboatSprings_Rep1_3mo","2025-08-06","2025-11-01",316,5,"Reporteros 1",5,0,"{""District Admin"":2,""School Administrator"":1,""School Teacher"":2}"
79593,"Steamboat Springs SD",,,,,"PO_SO-66233_SteamboatSprings_RF1_3mo","2025-08-06","2025-11-01",123,6,"Reporters francophones 1",6,0,"{""District Admin"":2,""School Administrator"":2,""School Teacher"":2}"
79593,"Steamboat Springs SD",,,,,"PO_SO-66233_SteamboatSprings_RF2_3mo","2025-08-06","2025-11-01",113,6,"Reporters francophones 2",6,0,"{""District Admin"":2,""School Administrator"":2,""School Teacher"":2}"
79593,"Steamboat Springs SD",,,,,"PO_SO-66233_SteamboatSprings_RF3_3mo","2025-08-06","2025-11-01",27,20,"Reporters francophones 3",20,0,"{""District Admin"":2,""School Administrator"":1,""School Teacher"":1,""School Student"":16}"
79593,"Steamboat Springs SD",,,,,"PO_SO-66233_SteamboatSprings_RF4_3mo","2025-08-06","2025-11-01",27,4,"Reporters francophones 4",4,0,"{""District Admin"":2,""School Administrator"":1,""School Teacher"":1}"
68589,"Loudoun County Public Schools (VA)",70804,"Academies of Loudoun",,,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70806,"Belmont Ridge MS",,,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70808,"Blue Ridge MS",,,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70805,"Brambleton MS",,,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70809,"Briar Woods HS",,,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70807,"Broad Run HS",,,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70810,"Dominion HS",,,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70811,"Eagle Ridge MS",,,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70813,"Farmwell Station MS",,,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70812,"Freedom HS",,,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",80245,"Gum Spring MS",,,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70815,"Harmony MS",,,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70814,"Harper Park MS",,,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70816,"Heritage HS",,,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70817,"Independence HS",,,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70819,"J. Lupton Simpson MS",,,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70820,"J. Michael Lunsford MS",,,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70818,"John Champe HS",,,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70823,"Lightridge HS",,,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70822,"Loudoun County HS",,,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70824,"Loudoun Valley HS",,,,,,,,,,,
