districtId,districtName,schoolId,schoolName
"73313","15812-Shawnee Mission School District (KS)","",""
"69729","Portland Public Schools (OR)","69746","Access"
"69729","Portland Public Schools (OR)","69750","Astor K-8"
"69729","Portland Public Schools (OR)","69752","Beaumont M.S."
"69729","Portland Public Schools (OR)","69740","Beverly Cleary K-8"
"69729","Portland Public Schools (OR)","69737","Bridger Creative Science School"
"69729","Portland Public Schools (OR)","69738","Cesar Chavez K-8"
"69729","Portland Public Schools (OR)","69753","Faubion PK-8"
"69729","Portland Public Schools (OR)","69754","George M.S."
"69729","Portland Public Schools (OR)","69782","Harrison Park M.S."
"69729","Portland Public Schools (OR)","69756","Hosford M.S."
"69729","Portland Public Schools (OR)","69733","Jackson M.S."
"69729","Portland Public Schools (OR)","69757","Kellogg M.S."
"69729","Portland Public Schools (OR)","69732","Lane M.S."
"69729","Portland Public Schools (OR)","69741","Laurelhurst K-8"
"69729","Portland Public Schools (OR)","69748","Le Monde French Immersion"
"69729","Portland Public Schools (OR)","69769","Metropolitan Learning Ctr HS"
"69729","Portland Public Schools (OR)","69770","Metropolitan Learning Ctr K-8"
"69729","Portland Public Schools (OR)","69758","Mt Tabor M.S."
"69729","Portland Public Schools (OR)","69759","Ockley Green M.S."
"69729","Portland Public Schools (OR)","69739","Odyssey Program K-8"
"69729","Portland Public Schools (OR)","69755","Robert Gray M.S."
"69729","Portland Public Schools (OR)","69742","Roseway Heights M.S."
"69729","Portland Public Schools (OR)","69762","Sellwood M.S."
"69729","Portland Public Schools (OR)","69763","Skyline K-8"
"69729","Portland Public Schools (OR)","69744","Sunnyside Environmental K-8"
"69729","Portland Public Schools (OR)","69745","Vernon K-8"
"69729","Portland Public Schools (OR)","69765","West Sylvan M.S."
"69729","Portland Public Schools (OR)","69735","Winterhaven K-8"
"79593","Steamboat Springs SD","79606","Sleeping Giant School"
"79593","Steamboat Springs SD","79605","Steamboat Springs High School"
"79593","Steamboat Springs SD","79604","Steamboat Springs Middle School"
"68589","Loudoun County Public Schools (VA)","70804","Academies of Loudoun"
"68589","Loudoun County Public Schools (VA)","70806","Belmont Ridge MS"
"68589","Loudoun County Public Schools (VA)","70808","Blue Ridge MS"
"68589","Loudoun County Public Schools (VA)","70805","Brambleton MS"
"68589","Loudoun County Public Schools (VA)","70809","Briar Woods HS"
"68589","Loudoun County Public Schools (VA)","70807","Broad Run HS"
"68589","Loudoun County Public Schools (VA)","70810","Dominion HS"
"68589","Loudoun County Public Schools (VA)","70811","Eagle Ridge MS"
"68589","Loudoun County Public Schools (VA)","70813","Farmwell Station MS"
"68589","Loudoun County Public Schools (VA)","70812","Freedom HS"
"68589","Loudoun County Public Schools (VA)","80245","Gum Spring MS"
"68589","Loudoun County Public Schools (VA)","70815","Harmony MS"
"68589","Loudoun County Public Schools (VA)","70814","Harper Park MS"
"68589","Loudoun County Public Schools (VA)","70816","Heritage HS"
"68589","Loudoun County Public Schools (VA)","70817","Independence HS"
"68589","Loudoun County Public Schools (VA)","70819","J. Lupton Simpson MS"
"68589","Loudoun County Public Schools (VA)","70820","J. Michael Lunsford MS"
"68589","Loudoun County Public Schools (VA)","70818","John Champe HS"
"68589","Loudoun County Public Schools (VA)","70823","Lightridge HS"
"68589","Loudoun County Public Schools (VA)","70822","Loudoun County HS"
"68589","Loudoun County Public Schools (VA)","70824","Loudoun Valley HS"
"68589","Loudoun County Public Schools (VA)","70826","Potomac Falls HS"
"68589","Loudoun County Public Schools (VA)","70827","River Bend MS"
"68589","Loudoun County Public Schools (VA)","70829","Riverside HS"
"68589","Loudoun County Public Schools (VA)","70828","Rock Ridge HS"
"68589","Loudoun County Public Schools (VA)","70833","Seneca Ridge MS"
"68589","Loudoun County Public Schools (VA)","70832","Smart's Mill MS"
"68589","Loudoun County Public Schools (VA)","70830","Stone Bridge HS"
"68589","Loudoun County Public Schools (VA)","70831","Stone Hill MS"
"68589","Loudoun County Public Schools (VA)","70836","Trailside MS"
"68589","Loudoun County Public Schools (VA)","70835","Tuscarora HS"
"68589","Loudoun County Public Schools (VA)","70878","Virtual Distance Learning"
"68589","Loudoun County Public Schools (VA)","70877","Virtual Loudoun HS"
"68589","Loudoun County Public Schools (VA)","80246","Watson Mountain MS"
"68589","Loudoun County Public Schools (VA)","70838","Willard MS"
"68589","Loudoun County Public Schools (VA)","70837","Woodgrove HS"
"77618","Millburn Township School District","77627","Millburn Middle School"
"80480","The Greene School (FL)","80514","The Greene School"
"78924","Peshtigo School District (WI)","80845","Peshtigo High School"
"78924","Peshtigo School District (WI)","80846","Peshtigo Middle School"
"80433","Northfield Public School District (ISD 659)","80435","BIG 9 ONLINE HS"
"80433","Northfield Public School District (ISD 659)","80434","NORTHFIELD HIGH SCHOOL"
"80282","West Covina USD","80283","West Covina High School"
"80260","River Forest Public Schools District 90","80263","Lincoln Elementary School"
"80260","River Forest Public Schools District 90","80262","Roosevelt Middle School"
"80260","River Forest Public Schools District 90","80261","Summer School"
"80260","River Forest Public Schools District 90","80264","Willard Elementary School"
"80123","Parkview Baptist School (LA)","80135","Parkview Baptist High School"
"80123","Parkview Baptist School (LA)","80134","Parkview Baptist Middle School"
"79486","Schertz-Cibolo-Universal City Independent School District (TX)","79507","BYRON P. STEELE II HIGH SCHOOL"
"79486","Schertz-Cibolo-Universal City Independent School District (TX)","79506","SAMUEL CLEMENS HIGH SCHOOL"
"79656","Northside Independent School District (TX)","",""
"70563","South Kitsap School District (WA)","80109","EXPLORER ACADEMY"
"70563","South Kitsap School District (WA)","80108","SOUTH KITSAP HIGH SCHOOL"
"78619","Lakeville Area Schools - Classlink","78682","Lakeville North High School"
"78619","Lakeville Area Schools - Classlink","78681","Lakeville Online Academy High School"
"78619","Lakeville Area Schools - Classlink","78684","Lakeville Online Academy Middle School"
"78619","Lakeville Area Schools - Classlink","78683","Lakeville Pathways Academy"
"78619","Lakeville Area Schools - Classlink","78676","Lakeville South High School"
"59176","Morgan County Schools","79849","Berkeley Springs High School"
"79412","Kingsport City Schools (TN)","79413","Dobyns Bennett High School"
"79345","Lake Travis Independent School District (TX)","79478","Bee Cave Middle School"
"79345","Lake Travis Independent School District (TX)","79477","Hudson Bend Middle School"
"79345","Lake Travis Independent School District (TX)","79475","Lake Travis High School"
"79345","Lake Travis Independent School District (TX)","79476","Lake Travis Middle School"
"78621","Kirkwood School District (MO) - Classlink","78690","Kirkwood High School"
"78621","Kirkwood School District (MO) - Classlink","78686","Nipher Middle School"
"78621","Kirkwood School District (MO) - Classlink","78693","North Glendale Elementary"
"78621","Kirkwood School District (MO) - Classlink","78691","North Middle School"
"79264","Olentangy Local School District (OH)","79361","Olentangy Berkshire Middle School"
"79264","Olentangy Local School District (OH)","79364","Olentangy Berlin High School"
"79264","Olentangy Local School District (OH)","79366","Olentangy High School"
"79264","Olentangy Local School District (OH)","79368","Olentangy Liberty High School"
"79264","Olentangy Local School District (OH)","79378","Olentangy Liberty Middle School"
"79264","Olentangy Local School District (OH)","79372","Olentangy Orange High School"
"79264","Olentangy Local School District (OH)","79374","Olentangy Orange Middle School"
"79264","Olentangy Local School District (OH)","79362","Olentangy Shanahan Middle School"
"59318","Richland School District (WA)","59324","Carmichael Middle School"
"59318","Richland School District (WA)","59325","Chief Joseph Middle School"
"59318","Richland School District (WA)","59326","Enterprise Middle School"
"59318","Richland School District (WA)","59327","Hanford High School"
"59318","Richland School District (WA)","59331","Leona Libby Middle School"
"59318","Richland School District (WA)","59332","Pacific Crest Online Academy"
"59318","Richland School District (WA)","59328","Richland High School"
"59318","Richland School District (WA)","59330","Rivers Edge High School"
"59318","Richland School District (WA)","59329","Special Education"
"59318","Richland School District (WA)","59333","Three Rivers Homelink School"
"71140","Waukesha School District (WI)","71874","Bethesda Elementary School"
"71140","Waukesha School District (WI)","71160","Butler Middle School"
"71140","Waukesha School District (WI)","71166","eAchieve Academy - Wisconsin"
"71140","Waukesha School District (WI)","71875","eAchieve Elementary"
"71140","Waukesha School District (WI)","71330","East Alternative School"
"71140","Waukesha School District (WI)","71162","Horning Middle School"
"71140","Waukesha School District (WI)","73472","Les Paul Middle School"
"71140","Waukesha School District (WI)","71159","North High School"
"71140","Waukesha School District (WI)","71158","School District of Waukesha"
"71140","Waukesha School District (WI)","71167","SDW Elementary Summer Academy"
"71140","Waukesha School District (WI)","71164","South High School"
"71140","Waukesha School District (WI)","71163","Waukesha Eng Preparatory Academy"
"71140","Waukesha School District (WI)","71329","Waukesha STEM Academy - Saratoga"
"71140","Waukesha School District (WI)","71161","West High School"
"77661","Brookfield Public Schools (IL)","",""
"77617","Olathe Unified School District 233","77634","Olathe Advanced Technical Center"
"77617","Olathe Unified School District 233","77626","Olathe East High School"
"77617","Olathe Unified School District 233","77628","Olathe North High School"
"77617","Olathe Unified School District 233","77629","Olathe Northwest High School"
"77617","Olathe Unified School District 233","77631","Olathe South High School"
"77617","Olathe Unified School District 233","77633","Olathe West High School"
"62973","Apple Valley Unified School District","76145","Apple Valley High School"
"62973","Apple Valley Unified School District","76146","Granite Hills High School"
"74852","Oneroster Api Test","",""
"73668","Oxford Community School District","73675","Oxford High School"
"73668","Oxford Community School District","73676","Oxford Middle School"
"72259","New York City Department of Education","",""
"72271","East Rockaway Union Free SD","72287","East Rockaway Jr/Sr High"
"72203","Uniondale School District","72244","Lawrence Road Middle School"
"72203","Uniondale School District","72243","Turtle Hook Middle School"
"72203","Uniondale School District","72242","Uniondale High School"
"71977","Belton Independent School District (TX)","71982","BELTON HIGH SCHOOL"
"71977","Belton Independent School District (TX)","71983","LAKE BELTON HIGH SCHOOL"
"71205","Franklin Towne Charter High School","71206","Franklin Towne Charter High School"
"70550","Department of Defense Education Activity (DoDEA)","70776","Americas - Mid-Atlantic - Albritton Middle School"
"70550","Department of Defense Education Activity (DoDEA)","71702","Americas - Mid-Atlantic - Antilles Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71704","Americas - Mid-Atlantic - Antilles High School"
"70550","Department of Defense Education Activity (DoDEA)","71703","Americas - Mid-Atlantic - Antilles Middle School"
"70550","Department of Defense Education Activity (DoDEA)","71708","Americas - Mid-Atlantic - Bitz Intermediate School"
"70550","Department of Defense Education Activity (DoDEA)","71691","Americas - Mid-Atlantic - Bowley Elementary School"
